City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
314,Marawi,PH,71.4,moderate rain,7.9986,124.2928,Derogongan Residence
315,Kieta,PG,80.26,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
319,Gimbi,ET,78.49,overcast clouds,9.1667,35.8333,Sam home
320,Ginir,ET,73.76,light rain,7.1333,40.7,Sura Dare Village
321,Cayenne,GF,77.09,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
326,Warri,NG,89.89,overcast clouds,5.5167,5.75,BON Hotel Delta
327,Salalah,OM,86.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
329,Puerto Gaitan,CO,74.98,overcast clouds,4.3133,-72.0816,Brisas del Yucao
334,Kloulklubed,PW,77.5,light rain,7.0419,134.2556,Storyboard Beach Resort
337,Maturin,VE,70.12,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
341,Kamina,CD,68.18,light rain,-8.7386,24.9906,Guest House Florvia
342,Mandurah,AU,73.9,clear sky,-32.55,115.7,Atrium Hotel Mandurah
343,Faya,SA,79.32,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
344,Bilma,NE,97.41,clear sky,18.6853,12.9164,Expeditions Ténére voyages
346,Inongo,CD,78.71,overcast clouds,-1.95,18.2667,Hotel Du Lac
352,Maragogi,BR,78.22,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
356,Tuy Hoa,VN,79.66,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
357,Souillac,MU,82.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
358,Prado,BR,71.65,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
359,Meulaboh,ID,84.61,broken clouds,4.1363,96.1285,Kost Pria
360,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
361,Yanggu,CN,82.04,scattered clouds,36.1106,115.7753,Supply And Marketing Hotel
367,Pokhara,NP,81.66,broken clouds,28.2333,83.9833,OYO 170 Hotel View Point
368,Djibo,BF,95.14,overcast clouds,14.1022,-1.6306,Centre Des Ressources DPENA
369,Sabha,LY,88.59,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
372,Kiunga,PG,76.57,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
373,Puerto Narino,CO,71.37,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
375,Acapulco,MX,73.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
377,Sibolga,ID,83.52,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
384,Port-Gentil,GA,82.35,overcast clouds,-0.7193,8.7815,Fengshui Residence
385,Tezu,IN,86.85,few clouds,27.9167,96.1667,Circuit House
386,Ahipara,NZ,65.34,few clouds,-35.1667,173.1667,Ahipara Holiday Park
388,Saint Pete Beach,US,69.8,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
392,Lianyuan,CN,75.88,overcast clouds,27.6883,111.6642,Lianyuan Hotel
396,Sibiti,CG,82.08,overcast clouds,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
397,Kishi,NG,87.15,overcast clouds,9.0833,3.85,New NCCF KISI
398,Inhambane,MZ,75.94,overcast clouds,-23.865,35.3833,Oceano
399,Khewra,PK,98.11,overcast clouds,32.6479,73.0106,Choona Pahari
400,Santa Marta,CO,79.9,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
401,Japura,ID,84.88,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
403,Shakawe,BW,76.26,clear sky,-18.3667,21.85,Ditlhapi Guest House
404,Campo Maior,BR,74.98,broken clouds,-4.8278,-42.1686,Elite Hotel
405,Guarapari,BR,71.89,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
407,Chumphon,TH,83.79,overcast clouds,10.3333,98.8333,สกาน จ๋า.
414,Solwezi,ZM,65.93,light rain,-12.1688,26.3894,Country Lodge Solwezi
417,Komsomolskiy,UZ,72.32,moderate rain,40.4272,71.7189,Ikathouse
418,Bonthe,SL,86.02,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
419,Marsh Harbour,BS,72.81,broken clouds,26.5412,-77.0636,Abaco Beach Resort
420,Samarai,PG,82.99,overcast clouds,-10.6167,150.6667,Nuli Sapi
426,Galesong,ID,80.62,overcast clouds,-5.3166,119.3661,Sapriadi Appy
427,Yazd,IR,89.71,scattered clouds,31.8972,54.3675,Mozaffar Traditional Hotel
428,Kahului,US,73.85,broken clouds,20.8947,-156.47,Maui Seaside Hotel
430,Zhezkazgan,KZ,75.18,clear sky,47.8043,67.7144,Hotel Zumrat
432,Sao Joao Da Barra,BR,69.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
433,Athens,GR,72.09,clear sky,37.9795,23.7162,Safestay Athens
434,Senanga,ZM,78.96,scattered clouds,-16.1167,23.2667,Zango lodge
435,Hirara,JP,73.26,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
436,Bowen,AU,75.29,light rain,-20.0167,148.2333,Castle Motor Lodge Motel
437,Caico,BR,76.95,few clouds,-6.4583,-37.0978,Pousada Paraíso do Seridó
438,Karratha,AU,86.29,light rain,-20.7377,116.8463,ibis Styles Karratha
443,Ntcheu,MW,70.88,overcast clouds,-14.8203,34.6359,Dear Executive Lodge
445,Tura,IN,85.84,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
449,Sur,OM,91.85,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
451,Dali,CN,67.93,broken clouds,25.7,100.1833,Dali Travelling With Hostel
452,Trinidad,BO,75.18,scattered clouds,-14.8333,-64.9,Hotel Piesta
453,Myitkyina,MM,91.72,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
454,Soe,ID,69.1,scattered clouds,-9.8607,124.284,Dena Hotel
455,Lakheri,IN,97.39,overcast clouds,25.6667,76.1667,प्रहलाद जी सैनी
457,Jumla,NP,70.11,overcast clouds,29.2747,82.1838,Royal Garden Hotel
458,Jagdalpur,IN,95.52,broken clouds,19.0667,82.0333,Hotel Devansh Residency
464,Ziro,IN,66.94,broken clouds,27.6333,93.8333,Ka-ngam homestay
467,Arlit,NE,98.8,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
470,Bella Vista,US,68.52,overcast clouds,36.4295,-94.2316,The Inn at Bella Vista
471,Ayutthaya,TH,96.03,overcast clouds,14.2833,100.5,Bann Thai Kae Ook
472,San Juan De Los Morros,VE,72.45,overcast clouds,9.9115,-67.3538,Hotel La Montaña
473,Mangochi,MW,77.49,overcast clouds,-14.4782,35.2645,Fort Johnstone Hotel
476,Salazie,RE,78.49,overcast clouds,-21.0273,55.539,L'Orchidée Rose
477,Oyem,GA,84.74,overcast clouds,1.5995,11.5793,Commissariat de police
