City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Esperance,AU,2022-04-18 18:03:14,-33.8667,121.9,62.53,74,87,8.3
192,Cayenne,GF,2022-04-18 18:00:09,4.9333,-52.3333,76.08,1,100,2.3
193,Hofn,IS,2022-04-18 18:03:25,64.2539,-15.2082,44.69,78,100,18.23
194,Youghal,IE,2022-04-18 18:03:25,51.95,-7.8506,53.1,65,82,9.89
195,Najran,SA,2022-04-18 18:03:26,17.4924,44.1277,77.79,18,0,5.57
196,Sao Paulo De Olivenca,BR,2022-04-18 18:03:26,-3.3783,-68.8725,79.79,83,100,2.93
197,Bengkulu,ID,2022-04-18 18:03:27,-3.8004,102.2655,75.02,90,100,4.72
198,Mehamn,NO,2022-04-18 18:02:09,71.0357,27.8492,40.89,97,100,26.55
199,Saint-Augustin,CA,2022-04-18 18:03:28,51.226,-58.6502,33.1,73,91,24.34
200,Sitka,US,2022-04-18 18:03:29,57.0531,-135.33,44.49,49,40,3.44
201,Hami,CN,2022-04-18 18:03:40,42.8,93.45,59.14,13,0,4.74
202,Kunming,CN,2022-04-18 18:00:05,25.0389,102.7183,53.4,81,98,6.35
203,Monterey,US,2022-04-18 18:01:52,36.2505,-121.2516,65.17,29,91,5.32
204,Sept-Iles,CA,2022-04-18 18:00:18,50.2001,-66.3821,37.69,57,2,3.94
205,Aranos,NA,2022-04-18 18:03:42,-24.1333,19.1167,73.26,27,0,12.8
206,Belousovka,KZ,2022-04-18 18:03:42,50.1339,82.5239,51.57,45,100,5.73
207,Mayo,US,2022-04-18 18:03:43,38.8876,-76.5119,50.11,60,100,17.0
208,Comodoro Rivadavia,AR,2022-04-18 18:03:44,-45.8667,-67.5,60.66,63,0,8.05
209,Quatre Cocos,MU,2022-04-18 18:03:44,-20.2078,57.7625,79.09,86,33,11.79
210,Butaritari,KI,2022-04-18 18:03:45,3.0707,172.7902,81.19,76,12,12.84
211,Rorvik,NO,2022-04-18 18:03:45,64.8621,11.2373,57.31,54,0,9.22
212,Rafsanjan,IR,2022-04-18 18:03:46,30.4067,55.9939,62.17,22,13,10.04
