City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Rundu,NA,-17.9333,19.7667,75.16,36,21,7.49,few clouds
282,Cascais,PT,38.6979,-9.4215,62.47,66,40,35.99,scattered clouds
283,Pochutla,MX,15.7432,-96.4661,75.81,68,1,2.57,clear sky
284,Tigil,RU,57.8,158.6667,27.72,94,100,12.08,light snow
285,Bulgan,MN,48.8125,103.5347,45.18,26,100,11.21,overcast clouds
286,Marzuq,YE,14.4,46.4667,91.04,11,0,11.48,clear sky
287,Mehamn,NO,71.0357,27.8492,42.75,75,0,12.66,clear sky
288,Fatezh,RU,52.0891,35.8632,48.18,58,80,13.35,broken clouds
289,Moberly,US,39.4184,-92.4382,50.68,85,0,3.44,mist
290,Tilichiki,RU,60.4667,166.1,7.63,97,22,5.06,few clouds
291,Port Hedland,AU,-20.3167,118.5667,86.05,54,67,8.05,broken clouds
292,Tonantins,BR,-2.8731,-67.8022,71.62,99,100,0.81,light rain
293,Ponta Do Sol,PT,32.6667,-17.1,66.7,72,79,4.03,broken clouds
294,Casablanca,MA,33.5928,-7.6192,62.33,55,76,5.99,broken clouds
295,Bozdar,PK,27.1828,68.636,105.01,6,0,6.24,clear sky
296,Khatanga,RU,71.9667,102.5,16.79,90,99,7.81,overcast clouds
297,Berlevag,NO,70.8578,29.0864,42.8,87,75,11.5,broken clouds
298,Rabo De Peixe,PT,37.8,-25.5833,56.71,77,75,4.61,light rain
299,Ulladulla,AU,-35.35,150.4667,60.76,74,100,10.92,overcast clouds
300,Shimanovsk,RU,52.0,127.7,42.42,38,74,6.17,broken clouds
301,Kavaratti,IN,10.5669,72.642,85.6,68,70,3.83,broken clouds
302,Saint-Gabriel,CA,46.3001,-73.3824,30.6,81,75,3.13,broken clouds
303,Kalmunai,LK,7.4167,81.8167,86.36,68,87,10.49,overcast clouds
304,Naryan-Mar,RU,67.6713,53.087,25.52,82,80,9.44,broken clouds
305,Chipiona,ES,36.7366,-6.437,60.98,76,20,14.97,few clouds
306,Blackwater,AU,-23.5833,148.8833,66.43,95,100,12.64,overcast clouds
307,Champerico,GT,14.3,-91.9167,81.05,76,6,8.79,clear sky
308,Kudahuvadhoo,MV,2.6708,72.8944,84.18,72,69,11.68,broken clouds
309,Torbay,CA,47.6666,-52.7314,39.58,90,93,5.99,overcast clouds
310,Kuchaman,IN,27.15,74.85,97.79,15,77,8.63,broken clouds
311,Kruisfontein,ZA,-34.0033,24.7314,87.08,25,100,9.48,overcast clouds
312,Leh,IN,34.1667,77.5833,49.89,21,98,8.81,overcast clouds
313,Bethel,US,41.3712,-73.414,42.66,74,0,0.0,clear sky
314,Marawi,PH,7.9986,124.2928,71.4,95,100,3.13,moderate rain
